industries_clean,crop_and_animal_production,forestry_and_logging,fishing,mining,extraction_oli_ores,other_mining,mining_support_service,production_of_meat_products,fish_fruit_and_vegetables,oils_and_fats,dairy_products,grain_mill_products,bakery_products,other_food_products,prepared_animal_feeds,alcohol_tobacco,soft_drinks,textiles,wearing_apparel,leather,wood,paper,recorded_media,refined_petroleum,paints_varnishes_printing_ink,soap_detergents_cleaning,other_chemical,industrial_gases_chemicals,petrochemicals,dyestuffs_agro_chemicals,pharmaceutical,rubber_and_plastic,cement_lime_plaster,glass_clay_ceramic,iron_steel,other_metals_and_casting,weapons_ammunition,fabricated_metal_products,computer_electronic_optical,electrical_equipment,machinery_and_equipment,motor_vehicles_trailers,building_ships,air_and_spacecraft,other_transport_equipment,furniture,other_manufacturing,maintenance_ships,maintenance_aircraft_spacecraft,rest_of_repair_installation,electric_power_generation,manufacture_of_gas_distribution,water_collection_treatment_and_supply,sewerage,waste_collection_treatment,other_waste_management_services,construction,motor_vehicles_and_motorcycles,wholesale_trade,retail_trade,rail_transport,land_transport_services,water_transport,air_transport,warehousing,postal_and_courier,accommodation,food_and_beverage,publishing_activities,motion_picture_video,telecommunications,computer_programming,information_service_activities,financial_service_activities,insurance_pension,auxiliary_financial_services,real_estate_services,owner_occupiers_housing,buying_and_selling_renting,legal_activities,accounting_bookkeeping,head_offices_management,architectural,scientific_r_and_d,advertising_market_research,other_scientific_activities,veterinary_activities,rental_leasing_activities,employment_activities,travel_agency,security_activities,services_to_buildings,administrative_office_support,public_administration,education,human_health_activities,social_work_activities,creative_arts_activities,libraries_archives_museums,gambling_and_betting_activities,sports_and_amusement_activities,membership_organisations,repair_of_household_goods,other_personal_service_activities,total
manufacture_of_gas_distribution,16,1,3,0,23,24,2,49,32,9,26,26,49,107,12,67,15,18,5,3,25,94,20,28,6,12,16,147,125,26,52,107,37,51,72,32,7,123,26,15,60,72,5,41,2,9,14,1,3,27,8836,6262,35,7,16,1,348,73,143,390,23,20,2,12,68,17,150,284,7,50,46,35,19,79,6,55,11,84,115,42,14,35,23,26,15,23,5,17,19,24,3,20,28,248,302,410,177,9,20,42,97,38,0,35,20605
water_collection_treatment_and_supply,19,1,3,1,11,12,7,46,34,3,26,34,21,43,9,60,25,11,4,2,9,35,16,35,5,12,30,33,29,13,19,25,17,16,19,3,2,48,15,8,18,23,5,18,2,6,18,1,2,6,137,19,956,378,178,1,313,76,169,327,14,29,12,6,66,28,289,271,5,15,19,40,8,14,123,6,24,10,135,38,25,42,47,16,36,27,6,29,6,10,8,42,61,350,257,192,243,21,22,21,148,28,11,97,6310
sewerage,13,0,2,0,3,1,2,39,19,3,8,8,6,33,2,20,1,6,0,4,0,17,4,10,5,2,12,1,15,35,46,20,1,0,2,4,1,66,4,2,12,27,7,13,0,5,7,1,0,3,26,3,43,436,1827,0,303,39,105,126,1,31,0,3,32,17,81,64,1,3,2,11,2,11,8,17,9,6,19,6,1,16,27,5,1,26,1,18,0,2,1,85,42,732,63,401,69,1,3,17,34,1,2,14,5295
waste_collection_treatment,206,3,11,0,19,15,17,79,35,7,35,9,31,64,14,120,30,8,4,7,29,78,17,95,12,14,2,3,42,4,5,26,27,3,273,1,9,44,16,12,10,125,24,82,7,16,6,6,3,19,8,4,79,42,2384,10,618,105,421,540,11,213,15,6,137,55,127,312,18,16,17,24,10,48,13,91,25,57,83,31,19,10,43,7,21,31,12,16,7,12,5,139,38,1059,155,813,131,9,26,64,100,21,7,72,10059
other_waste_management_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,289,80,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,32,0,0,0,0,0,4,0,0,0,769
construction,315,52,1,3,241,3,287,85,14,1,24,4,11,15,11,7,5,3,3,5,12,7,5,256,8,4,3,31,56,6,14,264,125,4,5,2,2,311,12,8,83,194,241,17,11,7,16,0,1,457,2999,561,261,345,218,1,109351,281,2659,1591,24,60,12,43,449,29,100,319,20,69,94,108,40,1322,736,168,359,7246,11598,30,14,1392,906,66,101,415,8,69,56,40,2,523,180,5076,796,1183,355,76,62,8,126,26,1,34,155859
motor_vehicles_and_motorcycles,750,49,0,3,107,10,26,13,5,0,11,1,11,14,0,5,23,7,0,0,6,20,18,2,1,6,3,10,3,1,26,63,10,21,6,3,14,46,135,62,555,4016,11,24,138,9,18,1,0,158,70,17,59,25,182,0,586,4605,1974,1529,56,1860,18,12,172,417,61,111,12,17,20,142,32,427,229,97,3,11,40,39,55,41,23,21,8,4,1,2436,77,3,15,48,45,370,288,265,228,4,4,4,31,5,6,68,23301
wholesale_trade,1747,166,185,14,565,259,124,1421,907,76,707,503,531,1182,562,672,390,437,227,52,634,939,677,276,181,429,376,323,747,121,1375,1160,415,461,850,343,267,1833,1055,978,2653,3361,243,1677,128,419,526,52,71,418,768,100,82,12,474,3,10008,402,1977,1005,86,550,138,305,473,89,1003,4412,1018,746,310,580,199,590,96,303,39,175,367,89,47,151,656,477,180,301,121,223,232,90,57,437,418,2893,1400,4738,605,113,55,84,305,246,62,348,74356
retail_trade,483,34,49,3,169,74,36,466,189,28,208,231,271,526,274,188,132,321,185,14,119,179,135,38,52,193,105,92,197,31,364,309,101,126,254,98,90,570,320,301,869,1826,71,538,49,150,243,20,21,161,216,31,31,7,166,2,2717,741,908,521,51,306,69,101,220,51,316,1440,581,1041,99,355,51,282,64,158,14,46,156,48,23,76,185,149,138,203,35,188,25,30,25,168,168,1159,829,1794,415,99,68,60,212,149,21,172,28680
rail_transport,0,2,0,9,25,16,5,4,0,0,2,0,0,0,0,15,0,5,0,0,0,1,4,0,0,1,0,0,0,0,1,2,7,7,31,0,1,13,30,3,0,31,0,0,5,4,2,0,0,5,1,0,0,0,0,0,14,1,2,4,1804,1,0,55,6,1,1,2,0,1,1,8,0,25,17,14,0,0,18,1,1,1,1,1,1,0,0,3,0,170,1,0,1,777,145,346,1,0,13,0,30,0,2,0,3712
land_transport_services,412,11,0,16,18,328,23,377,347,28,194,117,301,482,106,502,128,66,9,10,207,500,138,109,110,78,83,143,86,27,91,437,798,168,190,42,1,380,92,113,406,361,4,181,16,129,167,1,16,58,29,22,23,9,269,8,729,551,7821,4381,147,5557,70,104,1019,361,105,234,259,118,95,68,26,518,149,137,6,2,184,71,18,64,231,76,54,268,15,373,14,97,16,104,342,663,1034,1713,671,34,6,8,51,18,38,61,37645
water_transport,1,0,58,0,95,0,0,3,1,0,2,0,1,1,0,0,0,0,0,0,0,1,0,63,0,1,0,0,0,0,1,3,2,9,1,0,2,17,23,1,2,56,0,1,3,2,0,0,0,8,3,0,0,0,0,0,22,1,4,5,1,1,1040,1,930,1,2,6,1,2,1,5,0,52,12,43,0,1,3,1,0,1,1,0,1,1,0,1,0,16,0,0,1,33,5,23,2,0,0,0,1,1,0,1,2592
air_transport,1,0,0,0,118,2,0,0,0,0,1,0,0,4,0,4,0,5,0,0,0,3,0,0,0,0,0,0,0,0,33,2,0,0,56,0,0,2,5,0,1,2,0,23,9,16,4,0,1,1,2,1,0,0,14,0,36,185,9,17,2,2,484,3479,1083,91,6,193,1,7,10,18,2,1256,167,86,1,1,12,4,232,403,2,3,480,122,0,2,183,3422,0,1,100,240,9,49,3,9,0,1,13,856,0,2,13594
warehousing,25,1,94,0,11,2,5,57,18,2,13,9,11,36,7,42,9,27,56,8,16,25,15,2,16,35,37,4,56,8,744,93,11,34,8,17,3,70,176,59,726,1099,2,88,3,18,33,1,6,55,54,14,39,2,266,3,208,622,7880,6097,1714,631,1246,279,7129,679,18,261,64,54,242,960,66,1772,142,756,10,12,47,55,27,71,22,11,19,19,7,379,9,29,4,6,827,513,109,128,62,16,4,7,25,46,2,29,37583
postal_and_courier,82,2,3,0,5,1,17,30,63,2,16,1,34,106,24,102,21,37,22,22,50,33,54,4,26,100,16,14,91,31,106,73,35,76,23,38,6,104,161,70,53,35,2,14,1,71,105,2,3,49,191,41,32,0,10,5,58,149,1205,2090,35,169,5,9,98,2028,19,21,252,98,99,98,264,2729,495,2000,31,3,57,190,94,225,33,26,53,59,27,103,29,115,8,11,323,1195,167,379,137,55,8,20,71,182,8,32,17879
accommodation,1,0,0,0,3,0,0,4,4,0,35,2,5,7,0,1,1,0,0,0,2,1,0,1,1,0,1,1,2,0,5,3,2,0,1,0,1,2,7,1,3,5,0,1,0,1,1,0,0,1,2,5,1,0,1,0,34,6,34,244,16,36,1,572,43,6,437,97,3,48,6,338,3,593,328,216,2,1,50,58,157,602,3,6,324,187,0,5,139,819,2,1,293,629,122,214,231,29,6,3,21,9,1,2,7099
food_and_beverage,5,1,2,0,30,2,2,45,47,1,452,25,68,90,3,7,14,3,5,1,28,9,1,6,12,5,7,6,26,5,65,35,20,4,10,4,14,12,92,9,35,32,2,7,3,3,9,1,1,8,9,63,5,0,4,1,32,31,334,221,142,26,5,217,102,10,412,1114,28,169,37,296,40,341,101,33,13,3,57,77,50,179,21,25,114,130,1,32,29,55,20,6,133,535,1189,751,615,127,82,25,256,117,8,16,9716
publishing_activities,9,0,0,0,7,1,1,7,6,2,9,6,11,17,9,35,7,4,12,3,3,6,4,1,4,14,5,1,5,0,17,10,2,3,11,7,5,8,9,26,25,52,2,48,2,4,12,0,1,26,16,9,9,1,9,0,84,89,225,312,12,14,6,15,23,5,36,54,562,445,75,168,29,203,29,34,20,19,24,24,17,39,20,64,224,51,3,36,35,30,3,7,34,247,319,43,119,16,16,45,79,177,2,15,4654
motion_picture_video,20,1,1,0,12,2,2,10,12,1,12,15,27,40,14,83,18,11,13,6,5,7,8,2,10,33,2,2,3,1,37,21,4,6,4,2,4,17,18,11,61,130,3,14,4,9,19,0,1,8,31,9,2,1,37,0,175,216,548,749,24,25,14,33,42,5,108,116,156,9197,121,277,63,358,8,47,44,49,49,47,27,73,32,107,672,124,7,85,51,77,6,14,46,483,245,101,124,142,90,259,142,219,5,34,16462
telecommunications,230,8,8,0,60,13,24,34,27,1,16,14,30,37,17,29,13,20,13,2,34,39,22,16,10,21,16,10,18,4,72,87,21,26,22,10,16,105,67,42,106,125,12,97,13,30,46,5,6,80,210,78,44,12,43,3,1118,343,883,838,53,188,112,63,288,120,187,271,146,131,1146,423,250,2724,357,3150,118,441,442,394,132,649,31,238,307,238,25,161,279,183,73,110,510,2016,378,1204,487,51,28,280,130,100,388,115,24461
computer_programming,163,12,16,1,209,28,71,123,88,7,56,44,73,124,63,87,53,38,29,8,52,95,100,17,32,51,58,32,66,12,305,155,43,67,95,44,70,242,525,114,295,501,92,561,34,53,106,6,36,116,659,314,61,74,89,3,2137,594,1659,1964,137,247,126,128,484,183,299,574,485,478,1388,8431,424,3227,515,2502,211,28,773,749,550,1238,798,674,320,296,28,228,405,121,86,212,904,2283,991,1414,577,83,56,166,236,276,18,115,46281
information_service_activities,5,0,0,0,11,1,2,3,2,0,2,1,5,14,1,4,1,9,2,0,1,3,25,0,1,3,1,1,1,0,19,4,1,2,2,1,2,7,4,2,6,48,3,26,1,1,8,0,1,18,22,259,10,2,4,0,95,336,487,1088,50,51,5,23,105,95,10,28,56,73,1615,760,168,1023,246,85,120,4,44,34,204,283,36,163,86,159,1,118,15,27,33,5,392,87,60,41,20,33,3,115,10,10,9,84,9147
financial_service_activities,1085,21,34,18,1221,329,255,134,225,20,133,122,275,811,90,484,48,131,194,23,175,236,119,432,86,102,271,133,371,73,978,558,255,350,123,162,3,801,21,318,463,1307,88,1050,190,161,261,25,83,181,1350,373,230,65,470,6,2782,639,925,1314,145,782,149,300,1277,494,384,941,119,245,792,1046,92,14482,1643,759,1174,15230,6726,591,446,603,874,321,586,453,68,559,41,291,50,358,315,3322,1688,916,882,237,7,176,57,34,52,482,83369
insurance_pension,141,6,12,1,101,26,20,109,49,5,52,29,42,81,39,51,27,23,10,5,42,66,40,190,14,24,30,21,44,9,85,114,39,37,69,24,16,158,84,60,161,329,22,185,18,39,40,5,24,36,192,61,35,10,94,7,1532,258,784,996,83,265,80,251,255,77,138,408,89,274,256,511,55,353,5553,48,80,1973,315,144,79,292,243,124,163,106,15,122,176,172,22,90,237,246,359,249,152,46,10,35,99,47,13,83,21211
auxiliary_financial_services,15,0,1,4,12,5,14,18,4,0,10,8,15,11,6,29,2,4,4,0,1,8,16,73,2,41,59,24,93,0,20,42,78,17,32,5,3,41,32,41,32,118,9,57,14,6,16,0,4,23,32,32,11,20,177,1,821,142,3091,729,75,158,556,452,180,97,40,158,71,58,350,1452,53,11552,9436,12885,242,13,169,434,78,1638,1753,166,108,307,2,378,570,22,43,206,1055,125,158,93,33,9,3,43,25,25,29,44,51470
real_estate_services,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,3,1,0,0,1,0,0,1,0,1,4,0,0,1,0,0,6,1,1,2,3,0,1,0,1,2,0,0,1,3,3,0,0,2,1,90,14,52,115,4,8,3,10,17,1,13,30,5,18,511,30,2,105,52,7,379,32,69,22,4,18,19,5,22,5,1,6,4,4,0,3,16,49,48,36,10,1,1,6,7,2,0,7,1911
buying_and_selling_renting,2,0,0,0,1,0,0,5,1,0,2,1,1,2,1,1,1,12,0,6,24,141,14,0,2,3,11,0,21,0,24,188,1,1,9,6,0,328,1,31,3,5,0,3,9,74,2,0,0,30,77,59,22,5,59,48,300,644,2905,6797,0,393,143,522,1021,0,733,1836,242,466,767,1424,1,1545,309,89,259,75,2915,1074,226,608,352,100,927,190,62,282,152,166,0,23,702,2514,2246,2180,582,9,19,190,384,1,22,398,38035
legal_activities,5,3,6,0,104,35,135,48,59,1,44,63,95,91,17,95,117,51,22,7,4,28,7,14,35,42,85,20,87,56,224,49,124,37,65,7,33,27,295,98,120,60,8,27,11,20,25,30,5,33,596,194,43,6,37,9,1060,103,935,449,25,62,53,71,87,2,97,120,156,433,247,1230,752,2316,289,367,77,523,526,676,530,1529,178,145,160,71,15,917,349,67,19,61,344,2848,527,1969,684,32,17,122,336,307,12,42,25501
accounting_bookkeeping,30,18,13,0,27,5,20,30,18,0,24,47,60,76,25,137,0,61,39,8,24,44,25,1,24,67,47,4,36,27,86,124,26,21,21,0,2,108,40,55,131,86,15,32,10,27,73,21,8,46,621,243,28,2,38,39,208,286,1382,684,120,144,56,34,146,14,132,229,134,263,548,3257,130,3287,109,136,111,1,324,295,17,1341,271,98,357,309,28,242,585,233,24,75,1065,526,811,788,431,170,64,87,87,146,15,169,22809
head_offices_management,87,2,4,1,67,8,8,30,15,1,12,11,31,32,15,51,13,22,18,6,8,27,11,3,8,22,6,4,9,2,36,40,9,10,14,4,6,35,21,15,53,110,7,36,4,13,75,2,3,13,254,726,6,5,70,4,465,201,650,1498,339,145,48,191,118,28,76,107,73,368,570,956,258,7868,203,191,39,61,656,106,110,1168,196,230,379,266,7,151,332,184,8,31,201,1223,413,231,105,30,52,499,107,66,13,33,23355
architectural,50,2,8,2,297,25,114,78,24,13,25,21,24,62,17,10,9,23,5,5,6,14,8,45,3,38,57,3,111,26,261,37,204,69,30,67,4,332,39,117,245,42,18,838,14,12,34,1,3,84,255,147,187,9,260,6,6676,463,523,446,35,76,23,41,121,10,109,68,29,225,79,388,36,1791,212,266,51,1274,195,148,30,543,8673,391,92,215,2,36,44,146,17,39,90,1106,215,1774,85,83,7,31,80,30,1,10,31457
scientific_r_and_d,60,4,4,0,26,7,8,36,30,3,16,13,26,40,38,21,15,11,6,3,13,23,15,7,4,14,11,8,22,4,48,30,16,15,20,10,7,54,34,32,66,94,7,70,6,14,27,1,2,14,66,42,10,2,34,1,466,95,198,217,29,60,12,29,40,9,37,108,53,138,52,191,35,478,70,66,12,52,67,29,21,90,328,4902,226,414,3,48,18,20,2,13,96,247,141,242,48,47,5,25,30,42,5,17,10784
advertising_market_research,68,2,2,0,40,5,6,29,45,3,38,54,102,148,48,323,70,40,47,23,18,23,28,8,38,128,5,5,8,2,136,78,12,21,7,3,10,52,64,30,226,480,10,21,13,34,68,1,2,21,110,38,5,3,33,2,589,837,2136,2926,87,91,49,115,151,17,316,417,406,1803,468,922,245,1439,12,133,169,192,173,170,97,276,113,436,2276,484,28,330,207,304,32,69,173,891,405,212,211,115,53,399,179,315,18,131,24450
other_scientific_activities,176,1,1,0,7,1,5,46,117,10,15,21,146,149,284,68,65,6,2,17,3,26,12,3,3,35,10,9,33,9,94,15,6,23,4,4,4,15,96,84,16,31,7,22,21,49,130,0,0,5,110,5,2,3,90,0,119,360,933,751,34,254,27,9,42,2,56,48,263,1078,19,96,160,508,177,80,50,5,44,14,44,25,37,492,2254,4243,2,205,3,46,1,6,524,460,429,418,93,444,16,7,120,268,1,58,17441
veterinary_activities,300,0,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,1,2,3,1,1,0,1,1,0,1,3,1,7,1,3,0,1,0,1,0,0,8,1,0,1,1,2,0,0,130,1,0,0,0,0,1,7,2,4,1,0,0,0,0,0,0,0,523
rental_leasing_activities,404,11,47,15,291,94,9,82,38,2,62,13,57,53,20,31,19,13,6,3,37,50,41,13,19,15,15,24,32,6,7,87,62,54,122,14,3,185,32,36,96,68,21,31,9,33,28,12,8,77,78,32,29,25,392,32,3790,285,27,569,1338,755,366,1459,986,281,105,165,12,19,150,30,45,98,54,83,69,478,212,113,75,8,382,97,67,150,14,590,72,36,52,257,36,168,949,860,253,58,15,102,125,55,14,90,19108
employment_activities,357,2,5,0,527,36,11,395,223,4,60,33,237,322,33,69,40,32,19,7,52,44,97,44,37,39,16,24,77,12,181,194,44,22,15,20,208,115,127,88,329,596,228,144,50,76,126,9,27,107,347,38,127,24,245,11,2214,204,1506,2298,106,1188,126,31,1312,383,280,255,194,90,243,834,154,1855,304,330,314,5,394,360,198,14,661,532,747,161,11,174,12024,159,40,119,377,829,1271,3236,1540,30,35,35,97,114,93,64,43897
travel_agency,5,0,1,0,2,1,0,4,2,0,3,1,2,3,1,2,1,1,1,0,2,3,2,1,1,1,1,1,2,0,4,4,1,1,2,1,1,6,3,3,7,31,1,27,0,1,1,0,0,4,5,1,0,0,2,0,31,11,16,45,31,20,1059,117,84,1,611,45,4,17,43,22,1,591,2,370,13,1,10,5,11,175,4,3,3,2,1,2,5,2857,0,2,4,212,66,85,6,1,1,1,3,1,0,2,6748
security_activities,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,3,101,0,1276,2,4,7,2,1,1,21,8,17,1,3,1,54,3,20,65,1079,6,25,0,10,105,1,1,2,1,55,1,35,0,1,0,0,1544,0,26,432,308,328,178,50,18,1,51,0,1,1,5865
services_to_buildings,3,0,0,0,2,1,1,2,1,0,3,1,1,2,1,1,1,1,0,0,1,3,1,0,0,1,1,1,1,0,3,6,1,1,2,1,1,7,2,2,5,5,1,3,0,2,1,0,0,19,214,37,1,0,165,2,1144,12,1036,99,5,88,3,137,185,18,496,449,5,61,16,652,288,687,176,156,142,596,1138,369,5,684,336,84,13,108,22,130,3,4,224,6449,74,609,1340,972,573,134,130,160,525,229,10,54,21345
administrative_office_support,39,3,3,0,18,5,158,29,20,2,20,10,16,29,17,18,10,9,5,2,12,18,13,12,4,10,7,6,16,3,87,237,9,25,16,6,6,36,24,82,157,128,6,37,4,10,14,1,2,11,379,302,3,1,155,5,279,245,309,462,23,449,7,88,555,9,145,345,36,356,256,290,119,176,145,165,11,15,232,157,75,327,47,54,92,107,23,22,62,164,3,48,5111,1015,549,1004,307,17,28,109,119,425,3,13,16858
public_administration,12,2,0,2,3,1,1,8,12,2,1,10,10,19,8,39,7,14,4,7,5,16,1,17,16,11,28,0,0,7,166,27,1,9,11,18,3,73,12,13,61,68,6,44,7,18,22,1,3,3,11,11,9,2,23,0,1430,45,117,524,165,2092,26,108,42,120,36,94,15,23,41,180,8,167,27,62,4,8,5352,16,15,80,3956,397,6,19,3,4,76,4,6,35,94,302,18,99,9,10,3,13,11,14,3,3,16771
education,7,0,1,0,12,2,3,3,3,0,7,1,3,4,2,12,2,13,7,0,2,3,3,0,8,5,2,1,27,0,234,46,2,8,4,9,4,30,128,11,7,16,4,57,1,2,5,0,2,5,28,15,5,12,31,1,152,33,80,159,22,92,20,158,145,19,98,107,15,38,278,1106,19,1357,317,324,12,8,241,384,433,518,96,2429,352,285,1,17,266,548,26,9,261,5529,13045,362,862,7,3,9,32,36,9,36,31156
human_health_activities,7,1,1,0,12,1,1,6,4,0,4,2,2,5,2,12,2,2,1,0,3,4,3,1,1,2,2,1,3,1,198,30,2,8,4,3,4,22,79,11,11,15,2,11,1,2,2,0,1,2,8,3,11,1,13,0,52,8,26,33,2,4,2,4,8,2,8,25,7,13,15,91,5,78,130,31,3,1,13,10,6,14,9,266,4,3,1,4,50,1,1,3,10,227,18,3196,9,1,1,2,40,3,0,3,4970
social_work_activities,5,0,1,0,4,1,1,3,2,0,8,1,2,3,1,1,1,1,0,0,2,2,1,1,1,1,1,1,2,0,4,4,1,1,2,1,1,5,3,2,5,6,1,4,0,1,1,0,0,2,5,3,1,1,4,0,73,7,23,38,12,8,4,16,14,3,11,30,4,6,10,49,3,27,6,13,3,6,18,9,4,11,8,6,6,4,1,7,2,2,1,3,8,37,35,1380,10308,2,2,2,7,3,0,3,12336
creative_arts_activities,3,0,0,0,1,0,1,1,2,0,1,0,2,2,3,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2,1,0,1,1,0,0,1,2,2,2,2,0,1,0,1,2,0,0,0,3,1,0,0,23,0,14,6,15,16,2,5,1,2,4,0,3,6,140,747,3,8,3,37,3,9,1,1,4,2,1,3,4,7,25,45,0,3,1,1,0,1,127,265,65,38,85,2290,34,1,193,5,0,2,4298
libraries_archives_museums,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,8,0,9,1,3,3,0,1,0,0,1,0,1,2,1,2,1,8,0,3,4,2,0,0,8,1,1,1,1,2,1,2,0,0,0,0,0,0,1,180,34,53,20,9,133,0,69,0,0,0,587
gambling_and_betting_activities,2,0,0,0,4,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,4,2,0,1,1,0,1,3,2,1,2,6,2,9,1,1,1,0,1,2,12,8,1,2,2,0,64,14,34,49,4,5,3,4,11,4,21,9,6,7,37,174,9,422,12,49,5,2,25,16,13,27,12,7,7,7,0,6,10,2,1,3,18,33,17,21,11,1,1,759,6,4,0,3,2039
sports_and_amusement_activities,9,0,1,0,5,1,1,6,5,0,5,5,8,13,5,39,5,4,4,2,2,3,3,1,3,9,1,1,3,0,12,8,2,2,3,1,2,8,7,4,20,40,2,6,1,3,6,0,0,3,11,4,1,0,20,0,71,55,140,189,8,13,4,11,17,3,24,39,29,309,32,80,17,163,33,22,11,13,18,14,8,21,12,139,140,39,2,22,35,135,5,11,28,221,89,40,54,17,32,89,60,35,1,10,2872
membership_organisations,2,2,0,0,1,0,0,3,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,9,8,0,0,3,1,1,8,10,2,2,3,0,2,0,1,1,0,0,4,3,1,0,0,2,0,18,4,12,18,3,3,1,7,15,1,4,8,14,167,5,25,3,314,27,34,1,1,7,4,2,5,3,2,74,96,0,3,83,1,24,10,128,200,238,12,693,47,6,17,59,695,0,1,3180
repair_of_household_goods,4,0,0,0,2,1,1,3,2,0,2,1,1,3,1,2,1,1,1,0,1,2,2,1,0,1,1,1,2,0,4,3,1,1,2,1,1,4,3,2,6,8,1,5,0,1,1,0,0,1,4,2,0,0,18,0,27,3,10,10,1,3,1,3,5,1,4,13,3,12,5,30,2,103,2,9,1,11,4,3,2,5,3,8,1,1,0,1,1,1,0,1,11,993,8,481,118,1,8,1,21,2,181,1,2220
other_personal_service_activities,9,1,32,0,3,1,1,7,4,0,5,3,3,7,3,3,2,2,1,0,3,5,3,1,1,2,2,2,4,1,8,7,3,4,4,3,1,13,17,5,13,17,1,9,1,2,3,0,0,3,7,1,1,0,3,0,128,5,20,25,3,5,2,5,11,1,8,166,17,358,5,14,1,281,11,22,1,7,18,4,1,5,5,6,3,2,2,11,4,1,0,3,7,427,18,529,158,1,1,1,4,2,0,1425,3976
